sentence,disease
"My body is showing signs of itching, loss of appetite and vomiting.",Chronic cholestasis
"These days I feel spinning movements, vomiting, headache, loss of balance and nausea.",(vertigo) Paroymsal  Positional Vertigo
"I think I’m having high fever, yellow crust ooze, blister and red sore around nose.",Impetigo
"I think I’m having abdominal pain, itching, weight loss, dark urine and high fever.",Jaundice
I feel discomfort due to visual disturbances and irritability.,Migraine
"I feel discomfort due to dark urine, yellowing of eyes and receiving blood transfusion.",Hepatitis B
My body is showing signs of dischromic  patches and nodal skin eruptions.,Fungal infection
I feel discomfort due to sweating and breathlessness.,Heart attack
I feel discomfort due to vomiting and distention of abdomen.,Alcoholic hepatitis
"My body is showing signs of fatigue, dizziness and depression.",Hypothyroidism
"Recently, I noticed yellowish skin and weight loss.",Jaundice
I’ve had family history and fatigue for a few days.,Bronchial Asthma
"I'm experiencing symptoms like family history, yellowing of eyes, yellowish skin, loss of appetite and fatigue.",Hepatitis C
I'm experiencing symptoms like palpitations and anxiety.,Hypoglycemia
"Troubled by headache, unsteadiness, nausea and spinning movements lately.",(vertigo) Paroymsal  Positional Vertigo
"Symptoms such as obesity, swollen blood vessels, prominent veins on calf, cramps and bruising are bothering me.",Varicose veins
"Symptoms such as phlegm, sweating and high fever are bothering me.",Pneumonia
"I’ve had vomiting, passage of gases, abdominal pain, internal itching and loss of appetite for a few days.",Peptic ulcer diseae
I'm experiencing symptoms like fatigue and nausea.,Hepatitis C
Symptoms such as joint pain and pain behind the eyes are bothering me.,Dengue
Troubled by spotting  urination and stomach pain lately.,Drug Reaction
Every morning my knees hurt and feel locked.,Rheumatoid Arthritis
"Symptoms such as malaise, throat irritation, phlegm and chills are bothering me.",Common Cold
"I feel discomfort due to dehydration, diarrhoea, sunken eyes and vomiting.",Gastroenteritis
"I feel discomfort due to itching, dischromic  patches and skin rash.",Fungal infection
"Recently, I noticed joint pain, silver like dusting and skin peeling.",Psoriasis
I feel discomfort due to nausea and constipation.,Typhoid
Troubled by nodal skin eruptions and dischromic  patches lately.,Fungal infection
"Recently, I noticed loss of appetite, abdominal pain, vomiting and yellowing of eyes.",Chronic cholestasis
"These days I feel yellow crust ooze, high fever and blister.",Impetigo
"I have been suffering from bladder discomfort, burning micturition and foul smell of urine.",Urinary tract infection
My body is showing signs of abdominal pain and weight loss.,Jaundice
I feel discomfort due to vomiting and high fever.,Malaria
I have been suffering from skin peeling and joint pain.,Psoriasis
"These days I feel obesity, irregular sugar level and fatigue.",Diabetes 
I'm experiencing symptoms like vomiting and headache.,Paralysis (brain hemorrhage)
"Recently, I noticed abnormal menstruation and irritability.",Hyperthyroidism
"I feel discomfort due to skin rash, blister, yellow crust ooze and high fever.",Impetigo
"Troubled by nausea, joint pain, abdominal pain, dark urine and fatigue lately.",Hepatitis E
"Troubled by muscle pain, yellowing of eyes, abdominal pain, vomiting and dark urine lately.",hepatitis A
"I’ve had vomiting, fatigue and nausea for a few days.",Hepatitis D
"Recently, I noticed fatigue, high fever and chills.",Typhoid
"I feel discomfort due to bladder discomfort, foul smell of urine, continuous feel of urine and burning micturition.",Urinary tract infection
"I think I’m having abdominal pain, passage of gases and internal itching.",Peptic ulcer diseae
"My body is showing signs of swelling of stomach, yellowish skin, distention of abdomen and vomiting.",Alcoholic hepatitis
"Recently, I noticed chills, cough, chest pain and swelled lymph nodes.",Common Cold
"Recently, I noticed stiff neck, movement stiffness and painful walking.",Arthritis
I think I’m having weakness of one body side and vomiting.,Paralysis (brain hemorrhage)
"Recently, I noticed dark urine, acute liver failure, joint pain and yellowish skin.",Hepatitis E
"Recently, I noticed irritability and palpitations.",Hypoglycemia
"I’ve had itching, yellowish skin and fatigue for a few days.",Jaundice
"Recently, I noticed cough, phlegm, fast heart rate, malaise and chest pain.",Pneumonia
"My body is showing signs of visual disturbances, blurred and distorted vision, acidity and excessive hunger.",Migraine
"Troubled by high fever, abdominal pain, chills, constipation and toxic look (typhos) lately.",Typhoid
"I feel discomfort due to breathlessness, chest pain, vomiting and sweating.",Heart attack
"I have been suffering from ulcers on tongue, acidity, cough, stomach pain and chest pain.",GERD
These days I feel cold hands and feets and brittle nails.,Hypothyroidism
Symptoms such as dizziness and headache are bothering me.,Hypertension 
"Recently, I noticed coma, joint pain and acute liver failure.",Hepatitis E
"I’ve had back pain, loss of balance, dizziness and neck pain for a few days.",Cervical spondylosis
Troubled by prominent veins on calf and cramps lately.,Varicose veins
I think I’m having family history and fatigue.,Bronchial Asthma
I’ve had nodal skin eruptions and dischromic  patches for a few days.,Fungal infection
"Recently, I noticed high fever and loss of appetite.",Dengue
"Recently, I noticed skin peeling and silver like dusting.",Psoriasis
I'm experiencing symptoms like nausea and high fever.,Typhoid
"Symptoms such as joint pain, swelling joints, neck pain and painful walking are bothering me.",Osteoarthristis
I think I’m having unsteadiness and headache.,(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like vomiting, nausea, diarrhoea, yellowish skin and loss of appetite.",hepatitis A
"My body is showing signs of bladder discomfort, foul smell of urine and continuous feel of urine.",Urinary tract infection
"Troubled by muscle pain, yellowing of eyes, joint pain, dark urine and loss of appetite lately.",hepatitis A
I think I’m having skin rash and red sore around nose.,Impetigo
"I think I’m having skin rash, spotting  urination, burning micturition and itching.",Drug Reaction
"I have been suffering from swelling joints, joint pain, painful walking, knee pain and hip joint pain.",Osteoarthristis
"These days I feel headache, redness of eyes, runny nose and sinus pressure.",Common Cold
"I have been suffering from weight loss, excessive hunger, fatigue, obesity and increased appetite.",Diabetes 
"Symptoms such as chills, headache and sweating are bothering me.",Malaria
"Troubled by fatigue, cramps and swollen legs lately.",Varicose veins
"I'm experiencing symptoms like continuous feel of urine, bladder discomfort and foul smell of urine.",Urinary tract infection
"Recently, I noticed coma, yellowish skin, fatigue, acute liver failure and vomiting.",Hepatitis E
"I think I’m having silver like dusting, skin rash, skin peeling and joint pain.",Psoriasis
"These days I feel vomiting, spinning movements, unsteadiness, headache and loss of balance.",(vertigo) Paroymsal  Positional Vertigo
"Troubled by abdominal pain, yellowish skin and weight loss lately.",Jaundice
"I have been suffering from mild fever, weight loss and sweating.",Tuberculosis
"My body is showing signs of weight loss, high fever and abdominal pain.",Jaundice
"My body is showing signs of yellowing of eyes, nausea, fatigue, family history and yellowish skin.",Hepatitis C
I have been suffering from vomiting and spinning movements.,(vertigo) Paroymsal  Positional Vertigo
"Symptoms such as headache, spinning movements, loss of balance and unsteadiness are bothering me.",(vertigo) Paroymsal  Positional Vertigo
I feel discomfort due to swelling joints and painful walking.,Osteoarthristis
"I'm experiencing symptoms like nausea, sweating and diarrhoea.",Malaria
"Recently, I noticed headache, nausea and diarrhoea.",Malaria
Troubled by vomiting and abdominal pain lately.,Typhoid
"I feel discomfort due to dark urine, loss of appetite, stomach bleeding, yellowing of eyes and high fever.",Hepatitis E
"Troubled by red sore around nose, high fever, skin rash and yellow crust ooze lately.",Impetigo
"I think I’m having nausea, yellowing of eyes, family history and fatigue.",Hepatitis C
"Recently, I noticed scurring, pus filled pimples and blackheads.",Acne
"Symptoms such as family history, loss of appetite, fatigue and nausea are bothering me.",Hepatitis C
Symptoms such as irritability and weight loss are bothering me.,Hyperthyroidism
"Troubled by fatigue, loss of appetite, lethargy and red spots over body lately.",Chicken pox
I think I’m having phlegm and yellowing of eyes.,Tuberculosis
"I have been suffering from continuous feel of urine, foul smell of urine and burning micturition.",Urinary tract infection
"I think I’m having joint pain, hip joint pain and neck pain.",Osteoarthristis
"I'm experiencing symptoms like irritability, puffy face and eyes and fatigue.",Hypothyroidism
"My body is showing signs of muscle pain, chills, headache and diarrhoea.",Malaria
Symptoms such as weakness of one body side and vomiting are bothering me.,Paralysis (brain hemorrhage)
"Symptoms such as skin rash, scurring and blackheads are bothering me.",Acne
"I feel discomfort due to high fever, mucoid sputum and breathlessness.",Bronchial Asthma
I feel discomfort due to chest pain and sweating.,Heart attack
"Troubled by burning micturition, stomach pain, itching, spotting  urination and skin rash lately.",Drug Reaction
I’ve had burning micturition and bladder discomfort for a few days.,Urinary tract infection
"Symptoms such as muscle weakness, fast heart rate, sweating, diarrhoea and excessive hunger are bothering me.",Hyperthyroidism
"I'm experiencing symptoms like rusty sputum, breathlessness, fatigue, fast heart rate and chest pain.",Pneumonia
"My body is showing signs of excessive hunger, blurred and distorted vision, stiff neck and irritability.",Migraine
"Symptoms such as cough, acidity and stomach pain are bothering me.",GERD
"I think I’m having loss of appetite, pain behind the eyes, skin rash and muscle pain.",Dengue
"These days I feel fatigue, prominent veins on calf, obesity and swollen legs.",Varicose veins
"I have been suffering from fatigue, brittle nails and enlarged thyroid.",Hypothyroidism
I feel discomfort due to fatigue and breathlessness.,Pneumonia
"Troubled by high fever, muscle wasting, patches in throat and extra marital contacts lately.",AIDS
